Cliente;Edad;Renta;Sexo;EstadoCivil;NivelSocioEconomico;Departamento;AntiguedadCuenta_Meses;RegistraAdicionales;NumeroAdicionales;AntiguedadAdicionales_Meses;LineaCreditoNormal;SituacionCuenta;PromediodePagos;SaldoExtra;SaldoNormal;SaldoTotal;HabitodePago1;HabitodePago2;HabitodePago3;HabitodePago4;HabitodePago5;HabitodePago6;HabitodePago7;HabitodePago8;PeorHabito Pago;FlagRefinanciadoHistórico;FlagRefinanciado;DiasMora200812;DiasMora200901;DiasMora200902;DiasMora200903;DiasMora200904;DiasMora200905;CódigoInstitucion;PagaDespues;DispEfectivo;CalificacionSBS;CompraAnual_200806_200905;NroTransaccionesAnual_200806_200905;CompraMensualMaxima_200806_200905;Flag_Cliente
514;35;1703;M;S;N;AREQUIPA;74.13;0;;;2100;0;2;2331;131;2461;1;1;1;1;1;1;9;4;0;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;133.2;8;66;0
728;29;;M;S;C;LIMA;74.1;0;;;1100;0;9;0;1405;1405;A;B;A;4;B;B;A;4;0;Ref.C;Registró Refinanciación;82;0;18;49;20;51;0;1;0;2;772.69;32;225.26;0
2387;25;850;F;S;C;LIMA;53.3;0;;;600;0;7;0;2700;2700;B;A;B;A;4;1;4;1;0;Ref.C;Registró Refinanciación;0;16;44;16;46;0;0;0;0;3;653.89;10;526.3;0
3445;31;;M;S;D;LIMA;73.9;1;1;13.1;600;5;9;0;443;443;4;C;B;B;A;4;9;A;0;N/V;No Registró;41;42;70;0;10;11;0;0;0;4;1354.32;19;468;0
6536;35;;M;S;N;LA LIBERTAD;73.7;0;;;1800;5;6;3799;3786;7585;B;A;4;9;4;2;2;4;0;N/V;No Registró;6;37;3;34;36;67;0;1;2;2;459.1;3;439.2;0
7355;43;2957;M;S;C;LIMA;73.67;0;;;2500;5;B;0;1268;1268;B;A;B;A;B;A;A;B;;N/V;No Registró;6;37;65;34;64;6;0;0;0;3;1806.98;37;1077.28;0
9164;32;800;F;S;N;PIURA;73.57;0;;;3600;5;8;1008;3245;4253;B;A;4;2;9;A;A;B;;N/V;No Registró;0;1;0;31;61;31;0;0;0;3;4088.74;65;1289;0
14111;31;550;F;S;D;LIMA;73.3;0;;;500;5;7;0;537;537;A;A;4;4;1;B;A;4;;N/V;No Registró;0;0;0;26;25;56;400;0;1;3;658.97;17;305.5;0
15541;40;;M;S;N;PIURA;58.63;0;;;850;5;3;278;1065;1343;A;4;2;2;1;1;1;1;;N/V;No Registró;1;1;0;1;31;62;0;0;0;2;213.14;15;129.5;0
18808;26;;F;S;C;LIMA;72.93;1;2;35.93;400;5;D;0;848;848;D;D;D;D;D;D;D;D;;N/V;No Registró;112;113;110;111;110;110;0;0;0;4;121.65;3;61.8;0
22187;33;;M;C;D;LIMA;72.7;0;;;500;5;6;0;513;513;B;A;4;1;2;2;9;4;;N/V;No Registró;0;0;3;34;64;6;0;1;0;4;2124.21;14;1418.7;0
22569;31;;M;S;N;PIURA;72.7;1;1;50.9;3450;5;5;3782;5171;8953;A;4;7;4;4;2;2;2;;Ref.C;Registró Refinanciación;6;6;0;6;36;67;;0;5;3;434.04;4;160.14;0
23244;24;2050;F;S;B;LIMA;72.67;0;;;1800;0;6;0;1708;1708;9;4;2;9;A;A;4;2;;N/V;No Registró;6;0;0;6;36;0;0;3;3;4;2182.5;23;482.9;0
23721;39;1230;F;S;C;LIMA;72.63;0;;;1200;0;5;0;1275;1275;4;9;4;1;A;A;4;1;;Ref.C;Registró Refinanciación;0;0;3;6;5;36;0;0;0;3;986.76;8;451.13;0
24448;28;686;F;C;C;LIMA;72.57;0;;;1200;5;3;0;1258;1258;1;2;2;9;4;4;4;1;;Ref.C;Registró Refinanciación;6;37;3;6;0;6;0;1;6;4;619.78;17;205.55;0
24591;30;1114;M;S;C;LIMA;72.57;1;1;5.6;1700;5;5;0;2602;2602;2;9;4;4;1;9;4;9;;Ref.C;Registró Refinanciación;0;1;0;31;0;1;0;2;0;1;2962.41;15;1400.12;0
24650;46;1780;M;S;A;LIMA;72.57;1;1;38.73;5040;5;4;325;6752;7077;A;4;2;2;2;2;2;2;;N/V;No Registró;1;1;0;1;31;62;0;2;0;2;5359.51;78;859;0
26305;32;;F;S;C;LIMA;72.43;1;1;7.03;1260;5;4;888;2811;3699;A;4;1;2;2;2;1;2;;N/V;No Registró;0;0;0;0;15;46;0;1;1;2;894.49;36;145.52;0
29077;29;;M;S;B;LIMA;72.23;0;;;2400;0;6;967;2041;3008;B;B;A;4;1;2;1;2;;Ref.C;Registró Refinanciación;0;0;13;44;74;0;0;0;0;3;5974.01;61;1113.46;0
30956;30;948;M;S;C;LIMA;72.07;0;;;1300;0;5;3595;301;3896;A;A;4;2;2;2;2;1;;N/V;No Registró;0;0;0;16;46;0;0;0;1;2;;;;0
31422;38;1355;M;S;C;LIMA;72.03;1;1;54.9;1400;0;8;1147;2359;3506;B;B;A;4;9;4;7;4;;Ref.C;Registró Refinanciación;16;0;13;16;46;77;0;0;1;3;1329.62;4;899;0
